section,part,start_page,end_page,part_summary
Introduction,Introduction,3,5,"The CalWORKs County Self-Assessment (Cal-CSA) report was managed by a team with extensive experience in county administration, CalWORKs, and Welfare-to-Work (WTW) programs. The team's goal was to establish a data-driven program management system for continuous improvement of county CalWORKs programs. 

To gather feedback, the team established five focus groups, consisting of educational partners, specialized services providers, caseworkers, EQUUS Workforce Solutions, and CW/WTW Administrators. Data from a five-month Client Satisfaction Survey was also utilized. 

The team worked to ensure a community-focused approach by seeking and incorporating feedback from various partners and collaborators. Focus group participants expressed enjoyment in being consulted for potential program improvements and looking forward to seeing new implementations related to their feedback. 

The team also planned for the CalWORKs System Improvement Plan (Cal-SIP), where they aim to establish small cohorts of current and former clients to better understand barriers and challenges from their perspective. 

The report indicates efforts to educate stakeholders about the Cal-OAR and the continuous quality improvement (CQI) process, emphasizing the multi-dimensional nature of CWWTW that requires an understanding of how services are delivered to vulnerable families. 

Overall, the report indicates a shift towards a more data-driven, community-focused, and participatory approach to service delivery in the CalWORKs program in the county."
Demographics,Demographics,6,18,"The report provides a detailed analysis of the demographics and trends in the CalWORKs program in Orange County, Southern California. Orange County residents have higher education attainment levels than the state average, however, many CalWORKs clients end up with minimum wage jobs or working for a temporary job-placement agency due to the high cost of living and rent prices in the county. 

Unemployment rates in Orange County were lower than California's in both 2019 (2.8% vs 5.2%) and 2021 (6.0% vs 7.3%). The county also has higher proportions of residents with a bachelor's or graduate degree compared to the state average. However, affordable housing options in the county remain scarce, with a minimum wage worker needing to work over 100 hours a week to afford a one-bedroom apartment. 

The report highlights the diversity of the county with a significant Asian and Latino population, although the Asian category encompasses multiple communities including Vietnamese, Korean, and Chinese residents. 

The CalWORKs program faces challenges including the high cost of living, limited public transportation options, and a lack of digital literacy among clients. There is also a need for services to support educational attainment, wage progression, housing support, and English language learning. 

The report concludes by identifying emerging employment sectors including the computer, construction, biomedical, health, and business and professional services industries. These sectors have seen significant growth and offer potential opportunities for CalWORKs clients."
Section 1. Agency Characteristics,Part 1. Service Utilization and Access,19,26,"The report provides an overview of the CalWORKs program’s operations, service delivery, and organizational structure within the county. The Family Self-Sufficiency & Adult Services (FSS-AS) Division oversees the administration of CalWORKs and other related services. They collaborate with various stakeholders to ensure vulnerable families achieve self-sufficiency.

The report highlights the implementation of the Welfare-To-Work (WTW) Program, which is designed to support families working towards self-sufficiency. The CalWORKs offices are spread across different regions in the county to ensure accessibility, including Santa Ana, Anaheim, Cypress, and Laguna Hills. However, one site is temporarily closed for repairs and renovations until December 2023.

A key shift in service delivery is the adoption of a caseload-based service delivery system, including the introduction of the CalWORKs 2.0 framework. The framework allows for a more flexible approach to service delivery, considering the specific circumstances and needs of the whole family. Other initiatives include the No Wrong Door and First Contact Resolution, aimed at removing barriers and providing efficient services.

There are also language support measures in place to assist non-English speaking clients. The county employs a public-private model for case management and employment services, collaborating with contracted staff to cater to caseload and language needs. Employment & Eligibility Specialists (EESs) are available to assist clients from Monday to Friday.

The report acknowledges the potential disconnect between line and administration staff due to the agency's size and structure. However, it also outlines the advantages of this structure, such as strong administrative support and the opportunity for staff rotations and professional growth.

Past changes that impacted the CalWORKs program include the implementation of the Early Engagement initiative and the Client Engagement System (CES) in 2015 and 2014 respectively, which aimed to improve client engagement and collaboration. The Mutual Client (MC) project was introduced in 2018 to streamline services for eligible families. The report also mentions the adaptation to the COVID-19 public health emergency and the implementation of protective measures in 2020."
Section 1. Agency Characteristics,Part 2. County Offices,27,29,"The report highlights the county offices of CalWORKs and the services they offer. These offices are mostly located in urban areas with a high concentration of poverty. CalWORKs North, East, South, West, and a Foster Care Regional Center are strategically located near major highways and areas with the highest poverty rates. These offices offer Welfare-to-Work (WTW) services, and other co-located agencies. Services include public health nursing, legal assistance, accounting, and family resource centers that are available on site one day a week. 

The report also discusses the geographic dispersion of poverty within the county. It indicates that the northern half of Orange County has a higher concentration of poverty compared to the southern half. The overall poverty rate in Orange County is 10.10%. The locations of the CalWORKs offices mirror the dispersion of poverty, with four of the five offices located in the northern half of the county. 

In terms of service access, some of the offices have temporarily closed for repairs. However, the CalWORKs program continues to provide services to clients living in different areas of Orange County, with offices near major highways for easy reach. The report does not provide specific performance metrics or population trends but indicates that the offices are located in areas where the services are most needed. The eligibility and Welfare-to-Work (WTW) services are co-located, and the use of call centers was mentioned."
Section 1. Agency Characteristics,Part 3. Staff Functions & Workforce,30,31,"CalWORKs applications are assigned to Intake Employment and Eligibility Specialists (IEES) on a round-robin basis, with considerations for language barriers and specialized service needs. Applications are processed immediately if they identify immediate need, expedited services, or homeless assistance needs. Specialized units, like the Domestic Abuse Services Unit and Housing Support Program, are available for particular needs. After approval, applications are transferred to their respective continuing sections for ongoing maintenance. 

The report also provides information on various specialized caseload units and their usage across county offices. The Domestic Abuse Caseload Unit serves 145 caseloads, the Mutual Client Unit serves 154 caseloads, the Refugee Unit serves 5 caseloads, and the Cal-Learn Unit serves 49 caseloads. 

For training, case managers and employment & eligibility specialists undergo comprehensive training programs, the Welfare-to-Work IIT and the CalWORKs & CalFresh IIT training course, respectively. These programs include policy, procedure, and business process reviews, along with shadowing and mentoring. Training and Career Development (TCD) team provides onboarding experiences for new employees to ensure proficiency in job tasks. They are then paired with mentors for hands-on training and have the opportunity to attend refresher courses."
Section 1. Agency Characteristics,Part 4. Partnerships,32,33,"The report reveals several key trends and challenges in the delivery of CalWORKs services. The COVID-19 pandemic has resulted in a shift in candidate expectations towards more flexible, remote jobs, making eligibility and case management roles less attractive. This is posing a challenge for the program, which requires high-volume, in-person services. 

The Agency has also been facing high staff turnover rates due to retirements, promotions, and resignations over the past five years. This turnover is affecting the stability and institutional knowledge within the workforce. Hiring and retaining staff has been a challenge due to the time it takes to hire and an increase in candidates declining job offers or not showing up for interviews.

Skill gaps are also a concern, with employers struggling to hire people with the right skills and existing employees having outdated skills. Current and previous partnerships have helped to add more staff, training, and technology resources to the programs.

Regular meetings with various boards and educational institutions have provided the Agency with alternative perspectives and collaboration opportunities. Contracted service providers have helped clients utilize more diverse resources. However, the turnover of these providers based on Request For Proposal guidelines and government contracting requirements can be disruptive and impact the level of service. 

Potential future partnerships with Workforce Development Boards (WDBs) could improve outcomes for clients by providing more skills and interviewing training. However, limited opportunities for living wage jobs may be impacting clients' motivation to participate in job activities. The Agency is looking to better align and standardize some processes with contracted partners to improve service delivery."
Section 1. Agency Characteristics,Part 5. Financial/Material Resources,34,38,"The CalWORKs county report identified several key trends, service changes, and quantitative outcomes relating to program delivery. 

1. Caseworkers identified the need for a less complicated Child Care application process, with the potential integration of DocuSign to expedite the process.
  
2. There is a need for a clearer delineation of services for each CalWORKs/Work Training and Welfare (CW/WTW) caseworker to reduce miscommunication and prevent client confusion.
  
3. Preliminary Cal-OAR data analysis revealed lower performance for non-English speakers. An opportunity to further study this gap in service has been identified.

4. The agency will explore additional subsidized and vocational training opportunities to increase employment activities.

5. A significant gap in services was identified in relation to Work Training and Welfare (WTW) eligibility for undocumented adults, resulting in a lack of exposure to work opportunities.

6. The agency uses several funding sources, including Title IV-E, Medi-Cal, Title 19, State Realignment, and others, to support the CWD and impact services provided to the CalWORKs population.

7. The agency plans to link clients from child welfare programs to expand services available to the CalWORKs population based on mutual eligibility.

8. Fluctuations in CalWORKs allocations have made it difficult for the agency to adapt quickly to changes and develop a core foundation of services. 

9. Increased utilization of Family Stabilization was credited to efforts in reaching more eligible populations.

10. The agency experienced difficulty fully expending certain allocations due to challenges created by COVID-19, including good cause waivers, stay-at-home orders, expanded safety net programs, and capacity constraints.

11. The utilization of Housing Support Program (HSP) and Home Visiting Program (HVP) allocations varied across fiscal years due to factors such as late issuance of funds and client concerns about home visits during a public health emergency.

12. The agency encourages CDSS to allow for multi-year allocations, when possible, to give CWDs more time to plan and deploy funding across various supportive services."
Section 2. Partner and Collaborator Engagement and Feedback,Part 1. Overall Partner and Collaborator Engagement,39,44,"The report indicates an increase in engagement and collaboration among CalWORKs partners and stakeholders, with regular focus group sessions and meetings. The Cal-OAR team has formed a cohort of current and former CalWORKs clients who are interested in giving feedback on the program. This engagement has been facilitated by Shared Vision Consultants (SVC). 

Focus group participants have generally been employed in the field for multiple years and have commended the agency's efforts to improve relationships with them. The participants described the agency as ""open to feedback"" and willing to work with partners to solve problems. 

However, several challenges have been noted. Students transitioning from community colleges to four-year programs do not have transitional support. Students also face significant challenges such as domestic violence, substance abuse, lack of childcare, housing instability, and psychological stresses. 

The report indicates that the client referral process needs to be revised with a focus on the client's needs and goals. Frequent changes of case managers due to transfers, promotions, or retirements is a challenge for clients. Transportation and reliable childcare are significant obstacles to maintaining employment and housing stability. 

The report also shows a trend where clients generally ""do better when they can choose to participate in a program or service than when assigned."" It also reveals that clients with external family support and prior work experience seem to be the most successful. 

The focus group for case managers identified barriers to engaging clients in educational activities, such as lack of motivation, self-confidence, domestic/substance abuse, learning/physical/mental disability, homelessness, and lack of childcare education. 

The report also indicates that the main reasons clients return to the CalWORKs program after exiting are the lack of retention services, including housing, mileage, and lack of safety net after obtaining full-time employment. 

Lastly, the report shows that existing partnerships benefit everyone, with solid communication and clear expectations. However, there is a gap in the collaboration and services provided, and these should be expanded to non-WTW populations such as undocumented persons and children."
Section 2. Partner and Collaborator Engagement and Feedback,Part 2. Client Experience,45,45,"The 'Client Experience' section of the CalWORKs county report emphasizes the need for further analysis of Initial and Ongoing Engagement performance measures based on feedback from focus groups. The report suggests that focus on these measures could enhance goal achievement and barrier mitigation, particularly through improvements in barrier removal processes, client-case manager relationships, and the understanding and utilization of child care and transportation authorifications. These improvements are expected to increase Orientation Attendance Rate and Engagement Rate.

Survey data indicates that 72% of participants felt their time at the office was valued, while 16% disagreed with this statement. Average wait times at regional offices are approximately 20 minutes. 

According to the CDSS Client Satisfaction Survey, Orange County received 75 responses between July and November 2022. Of the respondents, 80% felt welcomed at the office, and 78% believed they received consistent information from the county throughout their participation in the WTW program. 

The report identified the tracking of referrals as an area for potential improvement."
Section 2. Partner and Collaborator Engagement and Feedback,Part 3. Client Satisfaction Survey,46,46,"The analysis of the 'Part 3. Client Satisfaction Survey' section of the CalWORKs county report reveals several key trends, although there is limited data available. Over a period of five months, the agency received 75 responses to the Client Satisfaction Survey. However, each question only received an average of 19 to 32 responses, which the Cal-OAR Team indicated was insufficient to make definitive conclusions. 

The reasons families apply for CalWORKs are primarily due to financial hardships, which can include unemployment and underemployment, as well as disability needs, homelessness and housing issues, lack of healthcare, and other related emergency situations. These influences suggest a trend of usage of the CalWORKs program as a safety net for families facing various types of socio-economic crises.

There's no explicit mention of service shifts, access barriers, or performance metrics. The report also does not provide information about client outreach methods beyond the survey, such as focus groups.

Overall, the information gathered from the survey does not appear to have significantly influenced the county measure analysis, given the limited data available from the survey."
