section,part,page,category,block_summary,text
Introduction,Introduction,2,title,,Introduction
Introduction,Introduction,2,title,,1. Describe how the CWD approached the Cal-CSA report.
Introduction,Introduction,2,plain text,,"The Cal-OAR Team consisted of one (1) staff member in the Administrative Manager II (AMII) position, two (2) staff members in the Administrative Manager I (AMI) position, one (1) staff member in the Social Services Supervisor II (SSSII) position, two (2) staff members in the Social Services Supervisor I (SSSI) position, and one (1) staff member in the Staff Specialist position. The AMII has over 25 years of county experience including general county administration, budget, research, and 5 years leading CalWORKs and Welfare-to-Work administrative teams. One of the two managers retired as an AMII with over 30 years of invaluable CW/WTW experience and returned as an extra-help AMI to support Cal-OAR. The second manager served as the Cal-OAR lead and project manager and brought a broad understanding of county government and project management experience. The SSSII has over 16 years of experience in CW/WTW supporting Homeless Assistance, the Housing Support Program, the Home Visiting Program, Family Stabilization, Child Care, Transportation, Ancillary, WTW, and Educational Activities. One SSSI is a former case manager and Employment & Eligibility Specialist with over 7 years of experience with CW/WTW and another 6 years serving the"
Introduction,Introduction,2,plain text,,"The Cal-OAR's goal is to establish a local, data-driven program management system that facilitates continuous improvement of county CalWORKs programs by collecting analyzing, and disseminating outcomes and best practices. Cal-OAR encourages intentionality in county CalWORKs program design, service delivery models, and activity structure. This provides opportunities for adults to build core capabilities critical to manage adversity, succeed in navigating a long-term career trajectory, and balance the challenges of life, family, and work. Through collaboration and partnership, counties and the state will execute a joint vision for CalWORKs outcomes of interest that propel improvement of county CalWORKs programs."
Introduction,Introduction,2,plain text,,"The first component of the Cal-OAR process is the CalWORKs County Self-Assessment (Cal-CSA), which organizes the performance measures into groups of related measures to support a holistic assessment of the CWD's CalWORKs program."
Introduction,Introduction,2,plain text,,"The County of Orange Social Services Agency (Agency) created a Cal-OAR Team consisting of subject matter experts (SMEs) from within the Family Self-Sufficiency-Adult Services Division (FSS-AS). FSS-AS is one of four major divisions within the Agency and encompasses CalWORKs (CW),Welfare-to-Work(WTW), Foster Care, Adult Protective Services, and In-Home Supportive Services."
Introduction,Introduction,2,page number,,3
Introduction,Introduction,3,title,,2 2. Methods used to gather partner and collaborator feedback.
Introduction,Introduction,3,plain text,,"One of the methods used to gather partner and collaborator feedback was to establish focus groups. The Cal-OAR Team established and met with five focus groups: (1) educational partners, (2) specialized services providers, (3) caseworkers (including Employment & Eligibility Specialists and Case Managers), (4) EQUUS Workforce Solutions (contracted employment activities provider), and (5) CW/WTW Administrators. The Cal-OAR Team conducted meetings virtually. At each focus group meeting, facilitators presented an overview of the Cal-OAR process and shared performance measure data analyses. Following the presentation, partners and collaborators worked in"
Introduction,Introduction,3,plain text,,"The Cal-OAR Team collaborated with Agency staff which included caseworkers, supervisors, and administrators, as well as Agency partners such as contracted case managers, contracted job services provider, and community college representatives. Engaging current and former clients is an ongoing priority and effort which the team is working on establishing. For this assessment, the Cal-OAR Team utilized data from five (5) months of the Client Satisfaction Survey (July - November 2022), which included 75 responses."
Introduction,Introduction,3,plain text,,"The Cal-OAR Team coordinated and wrote the Cal-CSA report with support from the Agency's Research Team to compile and validate data from various sources, including CalWIN. Additionally, the Research Team sent two representatives to the monthly Cal- OAR Project Action Team (PAT) meetings to collaborate with other CalWIN counties and data leads to help ensure the integrity of the Agency's data"
Introduction,Introduction,3,plain text,,The Cal-OAR Team received guidance from senior leadership and worked with former and current SMEs to answer every question in detail. The Cal-OAR Team verified that policies and procedures were consistent with program expectations and noted any concerns or issues as opportunities for future evaluation.
